english,link,domain,chinese,link_cn
China National Administration of Coal Geology,http://www.ccgc.cn/col/col522/index.html,ccgc,中国煤炭地质总局,http://www.ccgc.cn/
Xinxing Cathay International Group Co Ltd,http://english.xxcig.com/,xxcig,新兴际华集团有限公司,http://www.xxcig.com/
China TravelSky Holding Company,http://www.travelsky.net/publish/english/index.html,travelsky,中国民航信息集团有限公司,http://www.travelsky.cn
China National Aviation Fuel Group Limited,https://www.cnaf.com/english.html,cnaf,中国航空油料集团有限公司,http://www.cnaf.com/
China Aviation Supplies Holding Company,http://www.casc.com.cn/cas/en/,casc,中国航空器材集团有限公司,http://www.casc.com.cn/
Power Construction Corporation of China,http://en.powerchina.cn/,powerchina,中国电力建设集团有限公司,http://www.powerchina.cn
China Energy Engineering Group Co Ltd,http://en.ceec.net.cn/,net,中国能源建设集团有限公司,http://www.ceec.net.cn/
China National Gold Group Co Ltd,http://www.chinagoldgroup.com/eng/index.html,chinagoldgroup,中国黄金集团有限公司,http://www.chinagoldgroup.com/
China General Nuclear Power Corporation,http://www.cgnpc.com.cn/,cgnpc,中国广核集团有限公司,http://www.cgnpc.com.cn/
China Hualu Group Co Ltd,http://www.hualu.com.cn/en/,hualu,中国华录集团有限公司,http://www.hualu.com.cn/
Nokia Bell Co Ltd,https://networks.nokia.com/,nokia,,
Overseas Chinese City Group,http://www.chinaoct.com/,chinaoct,华侨城集团有限公司,http://www.chinaoct.com/
Nam Kwong (Group) Company Limited,http://www.namkwong.com.mo/en/,namkwong,南光（集团）有限公司[中国南光集团有限公司],http://www.namkwong.com.mo/
China XD Group,http://www.xd.com.cn/structure/eng/index.htm,xd,中国西电集团有限公司,http://www.xd.com.cn/
China Railway Materials Company Limited,https://www.crmsc.com.cn/crmscnewEn/index.asp,crmsc,中国铁路物资集团有限公司,http://www.crmsc.com.cn/
China Reform Holdings Corporation Ltd,http://www.crhc.cn/,crhc,中国国新控股有限责任公司,http://www.crhc.cn/
China State Shipbuilding Co Ltd,,csic,中国船舶集团有限公司,http://www.csic.com.cn/index.html
,,,中国融通资产管理集团有限公司,
,,,中国安能建设集团有限公司,
China Oil & Gas Pipeline Network Corporation(PipeChina),,pipechina,国家石油天然气管网集团有限公司,http://www.pipechina.com.cn/
China Certification & Inspection Group (CCIC),,ccic,中国检验认证（集团）有限公司,http://www.ccic.com/
